samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
5,3,803300,14200,1
6,3,1005900,17100,0.996364
7,3,1124200,20000,1
8,3,1279700,22700,1
1,4,320700,4000,0.996364
2,4,394300,6000,0.996364
3,4,587600,8600,0.996364
4,4,785600,11800,1
5,4,977400,14500,1
6,4,1171800,17200,1
7,4,1362800,20000,1
8,4,1551100,22700,1
1,1,127500,2600,0.836364
2,1,253300,5000,0.872727
3,1,379400,7500,0.861818
4,1,506200,9800,0.869091
5,1,632200,12200,0.850909
6,1,757900,14500,0.861818
7,1,884000,17000,0.861818
8,1,1009500,19300,0.861818
1,2,146200,3000,0.916364
2,2,288800,5600,0.916364
3,2,431100,8000,0.92
4,2,576800,11200,0.916364
5,2,720100,13800,0.934545
6,2,864700,16400,0.927273
7,2,1004700,19000,0.938182
8,2,1152000,22000,0.927273
1,3,163700,3000,0.989091
2,3,322300,5900,0.992727
3,3,482600,8700,1
4,3,645500,11600,1
5,3,803300,14200,1
6,3,963400,16900,0.996364
7,3,1124500,20000,1
8,3,1280400,22700,1
1,4,200000,3000,0.996364
2,4,475500,8700,0.996364
3,4,588900,8500,0.996364
4,4,782700,11700,1
5,4,977700,14400,1
6,4,1171500,17200,1
7,4,1361000,20000,1
8,4,1857400,32200,1
1,1,128300,2500,0.836364
2,1,253800,4900,0.872727
3,1,379100,7500,0.861818
4,1,505900,9800,0.869091
5,1,632300,12100,0.850909
6,1,758200,14500,0.861818
7,1,883700,17000,0.861818
8,1,1008700,19200,0.861818
1,2,146600,2900,0.916364
2,2,289900,5600,0.916364
3,2,431200,8100,0.92
4,2,576100,11000,0.916364
5,2,720600,13800,0.934545
6,2,866300,16700,0.927273
7,2,1006400,19300,0.938182
8,2,1151800,22000,0.927273
1,3,200900,3300,0.989091
2,3,322800,6000,0.992727
3,3,482800,8700,1
4,3,644600,11700,1
5,3,804100,14100,1
6,3,962800,17100,0.996364
7,3,1124100,19900,1
8,3,1395600,22600,1
1,4,201000,3100,0.996364
2,4,394700,6000,0.996364
3,4,588800,8500,0.996364
4,4,785000,11800,1
5,4,979100,14500,1
6,4,1170600,17400,1
7,4,1362000,20100,1
8,4,1550800,22800,1
1,1,127800,2600,0.836364
2,1,253500,5000,0.872727
3,1,379500,7500,0.861818
4,1,505700,9700,0.869091
5,1,632200,12200,0.850909
6,1,758100,14600,0.861818
7,1,966500,17100,0.861818
8,1,1008900,19400,0.861818
1,2,146400,3000,0.916364
2,2,289100,5600,0.916364
3,2,431600,8100,0.92
4,2,577300,11100,0.916364
5,2,720300,13800,0.934545
6,2,866700,16600,0.927273
7,2,1006000,19200,0.938182
8,2,1152300,22200,0.927273
1,3,163900,3100,0.989091
2,3,322300,5800,0.992727
3,3,546300,8800,1
4,3,644400,11600,1
5,3,803700,14300,1
6,3,962600,17000,0.996364
7,3,1124300,20000,1
8,3,1280000,22800,1
1,4,199800,3100,0.996364
2,4,394000,6000,0.996364
3,4,588100,8500,0.996364
4,4,783800,11700,1
5,4,1100700,14600,1
6,4,1172500,17100,1
7,4,1362100,20100,1
8,4,1660900,22600,1
1,1,127500,2600,0.836364
2,1,253600,5000,0.872727
3,1,379200,7400,0.861818
4,1,505600,9700,0.869091
5,1,701000,13500,0.850909
6,1,838600,16000,0.861818
7,1,972800,18700,0.861818
8,1,1110000,21200,0.861818
1,2,162500,3300,0.916364
2,2,319600,6200,0.916364
3,2,475600,9000,0.92
4,2,633400,12200,0.916364
5,2,1349400,16600,0.934545
6,2,1832700,20400,0.927273
7,2,1647600,24100,0.938182
8,2,1806600,28400,0.927273
1,3,182800,3400,0.989091
2,3,415200,6600,0.992727
3,3,1045100,11900,1
4,3,712300,12700,1
5,3,943100,15800,1
6,3,1060400,18800,0.996364
7,3,2629400,38800,1
8,3,1486200,23200,1
1,4,200300,3000,0.996364
2,4,393500,5900,0.996364
3,4,588000,8500,0.996364
4,4,1397600,13300,1
5,4,979600,14500,1
6,4,1251300,23800,1
7,4,1362800,20100,1
8,4,1550400,22600,1
1,1,127700,2500,0.836364
2,1,256500,5000,0.872727
3,1,421500,8100,0.861818
4,1,510700,9700,0.869091
5,1,638500,12100,0.850909
6,1,765600,14400,0.861818
7,1,891300,17100,0.861818
8,1,1016000,19300,0.861818
1,2,147100,2900,0.916364
2,2,322400,6100,0.916364
3,2,480700,9000,0.92
4,2,639600,12100,0.916364
5,2,766100,14000,0.934545
6,2,869900,16600,0.927273
7,2,1108300,21100,0.938182
8,2,1267200,24300,0.927273
1,3,181700,3500,0.989091
2,3,324000,6000,0.992727
3,3,482900,8800,1
4,3,644700,11600,1
5,3,821200,14300,1
6,3,963000,17200,0.996364
7,3,1123600,19900,1
8,3,1280400,22900,1
1,4,199700,3000,0.996364
2,4,394000,6000,0.996364
3,4,587700,8700,0.996364
4,4,840900,11800,1
5,4,978700,14600,1
6,4,1172100,17200,1
7,4,2607900,20600,1
8,4,1551500,22600,1
1,1,127700,2500,0.836364
2,1,253400,5000,0.872727
3,1,379200,7400,0.861818
4,1,506000,9700,0.869091
5,1,632100,12100,0.850909
6,1,758400,14600,0.861818
7,1,1000600,17200,0.861818
8,1,1032700,19300,0.861818
1,2,146300,2900,0.916364
2,2,289200,5600,0.916364
3,2,431900,8100,0.92
4,2,576400,11100,0.916364
5,2,720900,13900,0.934545
6,2,865000,16500,0.927273
7,2,1006100,19200,0.938182
8,2,1151800,21900,0.927273
1,3,164100,3000,0.989091
2,3,322500,5900,0.992727
3,3,575500,8700,1
4,3,645100,11500,1
5,3,804100,14100,1
6,3,962300,16900,0.996364
