samples_proportion,x_vars_proportion,time
1,1,94000
2,1,355400
3,1,833300
4,1,1508300
5,1,2900100
6,1,3501100
7,1,5273000
8,1,6545300
1,2,180700
2,2,707500
3,2,1816100
4,2,3091200
5,2,5008100
6,2,7562800
7,2,10754200
8,2,13447600
1,3,317500
2,3,1220100
3,3,2863400
4,3,5744400
5,3,9074300
6,3,12736500
7,3,17276800
8,3,23178800
1,4,423200
2,4,1629500
3,4,3812800
4,4,6920800
5,4,12046600
6,4,16985600
7,4,23318100
8,4,30181600
1,1,93600
2,1,355400
3,1,811700
4,1,1499200
5,1,2404900
6,1,3666800
7,1,4851100
8,1,6380000
1,2,179500
2,2,701400
3,2,1672500
4,2,3115300
5,2,5601000
6,2,7573900
7,2,10506000
8,2,13678900
1,3,313400
2,3,1328900
3,3,3218300
4,3,5722000
5,3,9454200
6,3,12598500
7,3,17623200
8,3,24279700
1,4,423100
2,4,1750600
3,4,3851200
